,id,lot_frontage,overall_qual,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,totrms_abvgrd,fireplaces,garage_area,saleprice,porch_sf,house_remod_sold,house_age_sold,kitchen_qual_Fa,kitchen_qual_Gd,kitchen_qual_TA,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker
10,1044,21.0,6,387.0,483.0,483,987,1,4,0,264.0,85400,0,37,37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2752,64.0,7,393.0,1208.0,1208,1208,2,6,0,632.0,183600,163,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,807,120.0,5,0.0,0.0,1288,2016,1,7,1,576.0,131000,0,2,129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,1177,24.0,8,813.0,960.0,962,1607,2,7,0,480.0,200000,169,8,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,1480,74.0,7,24.0,1351.0,1361,1361,2,6,0,610.0,193000,50,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,324,93.0,5,0.0,1430.0,1430,1430,2,7,0,624.0,173500,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1311,34.0,5,0.0,624.0,624,1344,1,7,0,513.0,98000,0,58,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,770,80.0,5,651.0,1121.0,1121,1121,1,5,0,480.0,139000,80,46,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,2063,71.0,6,0.0,660.0,1285,1285,1,7,1,528.0,143500,138,30,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,69,72.0,7,24.0,756.0,764,1547,2,7,0,614.0,215200,214,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,2062,109.0,5,492.0,894.0,894,894,1,5,1,450.0,129000,0,39,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,351,40.0,8,1158.0,1501.0,1659,1659,2,5,1,499.0,278000,271,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,2393,103.0,8,0.0,1209.0,1209,2253,2,8,1,575.0,344133,385,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,12,72.02564102564102,6,935.0,1168.0,1187,1187,2,6,0,420.0,185000,504,3,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2339,100.0,5,1056.0,1056.0,1056,1056,1,5,0,572.0,145000,264,51,51,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,624,92.0,6,1312.0,1453.0,1453,1453,2,6,1,530.0,187500,337,48,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,86,65.0,5,553.0,894.0,894,894,1,5,1,336.0,138500,560,1,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1534,69.27272727272727,5,606.0,942.0,1265,1938,2,7,1,240.0,198000,40,13,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2243,75.0,5,0.0,957.0,1034,1991,2,9,0,0.0,119600,0,1,112,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1957,60.0,5,0.0,672.0,672,924,1,6,1,576.0,122900,0,1,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,380,80.0,8,1104.0,2524.0,2524,2524,2,9,1,542.0,278000,594,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,2860,69.27272727272727,8,0.0,792.0,792,1517,1,7,2,400.0,230000,0,56,77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2517,30.0,8,437.0,1494.0,1494,1494,1,6,1,481.0,270000,246,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1933,60.0,6,441.0,948.0,948,948,1,5,0,410.0,125000,48,55,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,820,79.0,8,1288.0,1705.0,1718,1718,2,7,1,826.0,297000,252,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,675,80.0,6,0.0,160.0,1142,1142,1,5,1,384.0,113500,28,51,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2910,41.0,5,548.0,757.0,925,1475,2,6,1,336.0,127000,130,29,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,21,105.0,6,705.0,1844.0,1844,1844,2,7,1,546.0,190000,122,33,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,1873,80.0,7,916.0,1242.0,1242,1242,1,6,1,528.0,175500,0,34,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2125,60.0,5,420.0,990.0,990,990,1,5,0,384.0,146000,256,13,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1489,75.0,5,830.0,1256.0,1256,1256,1,6,0,276.0,147500,804,43,43,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2383,107.0,10,1386.0,2076.0,2076,2076,2,7,1,850.0,465000,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,983,75.47692307692307,5,1097.0,1097.0,1110,1110,1,4,1,602.0,165500,333,31,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1325,81.0,5,0.0,1050.0,1050,1795,2,7,0,352.0,131500,0,54,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,1378,70.0,5,906.0,1040.0,1040,1040,1,5,0,384.0,129500,0,43,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,1537,100.0,8,210.0,608.0,983,1873,1,9,2,786.0,257076,0,58,73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,905,60.0,5,408.0,984.0,984,1604,2,6,0,660.0,117000,68,49,68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1532,60.0,7,0.0,776.0,851,1502,1,6,1,270.0,149000,0,8,77,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,132,80.0,5,354.0,1056.0,1063,1063,1,6,0,280.0,128000,0,56,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1078,36.0,7,0.0,764.0,764,1626,2,6,0,474.0,155000,27,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,2511,63.98290598290598,6,353.0,756.0,768,1524,2,4,0,440.0,166000,32,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,912,65.0,4,622.0,1122.0,1328,1981,2,7,2,576.0,135000,475,59,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,2351,80.0,7,790.0,1392.0,1392,2784,3,12,2,564.0,250000,552,28,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,330,21.0,4,176.0,546.0,546,1092,1,5,0,0.0,76000,226,40,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2586,75.0,6,0.0,216.0,1575,1575,1,5,1,400.0,155000,0,55,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,224,80.0,6,371.0,663.0,663,1352,1,7,0,299.0,158000,415,41,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,98,24.0,7,368.0,600.0,600,1200,2,4,0,480.0,149500,172,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,2565,82.0,5,486.0,936.0,936,936,1,5,0,240.0,121000,0,31,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1934,68.0,6,85.0,1040.0,1040,1040,1,6,0,293.0,136000,0,54,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,997,72.02564102564102,6,138.0,916.0,916,1636,2,7,1,386.0,173000,252,12,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,64,92.0,8,524.0,1152.0,1164,2270,2,9,1,671.0,290000,189,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,1799,75.0,8,64.0,1184.0,1184,2610,2,11,1,550.0,303477,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,230,92.5,7,1092.0,1420.0,1483,1483,1,4,2,690.0,270000,496,9,33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1295,81.0,5,360.0,936.0,960,1740,1,6,1,225.0,122250,0,58,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,638,70.0,5,172.0,1382.0,1382,1382,1,6,0,350.0,153000,280,54,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,2278,70.0,5,206.0,1120.0,1120,1120,1,6,0,0.0,147000,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2202,63.0,7,246.0,531.0,567,1098,1,5,1,216.0,148500,0,12,77,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2833,32.0,7,0.0,976.0,976,1708,2,7,0,380.0,130000,40,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1707,94.0,9,0.0,1802.0,1802,1802,2,7,1,843.0,372000,263,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,2428,43.0,7,16.0,1362.0,1506,1506,2,6,1,440.0,213490,162,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,242,44.0,7,1346.0,1508.0,1508,1508,1,5,2,572.0,308030,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1564,75.47692307692307,7,700.0,1840.0,2032,2032,3,7,0,786.0,300000,46,11,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2613,79.0,6,655.0,655.0,1194,1194,1,6,1,539.0,159500,0,47,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2832,24.0,7,0.0,970.0,970,1709,2,7,0,380.0,137500,40,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2459,73.0,7,0.0,1616.0,1616,1616,2,7,0,834.0,232000,267,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,1360,61.890625,6,0.0,768.0,768,768,1,4,0,440.0,93850,0,58,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2723,72.77464788732394,5,0.0,872.0,872,872,1,5,1,322.0,105000,0,56,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,1350,60.0,4,0.0,520.0,520,520,1,4,0,240.0,68500,49,58,81,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,136,80.0,5,443.0,1105.0,1105,2274,2,12,0,480.0,154300,0,50,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,2235,50.0,5,0.0,936.0,936,1601,2,6,0,0.0,129850,0,4,82,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1993,35.0,5,168.0,616.0,616,1232,1,6,0,480.0,114000,280,57,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,367,63.0,9,1904.0,2216.0,2234,2234,2,9,1,1166.0,501837,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,1309,100.0,5,0.0,876.0,876,1416,1,7,1,720.0,153900,418,58,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83,402,60.0,4,240.0,864.0,864,864,1,5,0,576.0,130000,200,3,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,1592,32.0,6,864.0,1189.0,1189,1189,2,4,0,392.0,160500,122,11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2409,48.0,9,415.0,1666.0,1666,1666,2,6,1,575.0,310090,303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,539,67.0,7,833.0,1176.0,1200,1200,2,5,0,555.0,184900,41,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,1940,70.0,5,377.0,928.0,928,928,1,4,0,252.0,132000,261,7,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,588,80.0,5,553.0,1288.0,1336,1336,2,6,1,502.0,163000,323,40,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,96,30.0,7,280.0,600.0,600,1200,2,4,0,480.0,155000,172,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,1187,80.96551724137932,6,828.0,1427.0,1427,1427,2,7,0,516.0,183000,216,39,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,2154,70.75324675324676,7,762.0,860.0,1212,1992,2,7,2,608.0,211000,257,5,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,550,70.0,7,36.0,754.0,754,1540,2,6,0,495.0,184000,172,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,811,64.0,5,0.0,0.0,1535,1535,2,8,0,400.0,118858,0,30,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,124,75.19245283018869,5,1014.0,1152.0,1152,1152,1,6,1,484.0,180500,227,46,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1836,80.0,8,60.0,1141.0,1151,1151,2,5,0,484.0,166000,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,779,88.0,6,588.0,1138.0,1138,1138,1,6,1,480.0,148000,140,49,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,1886,74.0,5,438.0,894.0,1074,1074,1,6,1,396.0,124000,72,51,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,1724,60.0,9,1153.0,1561.0,1561,1561,2,6,1,556.0,277500,250,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,2450,83.0,8,527.0,1342.0,1358,2726,2,9,1,725.0,350000,476,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,1013,53.0,9,1337.0,1884.0,1884,1884,2,7,1,670.0,387000,290,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,2084,58.0,4,348.0,528.0,605,605,1,5,0,0.0,86000,0,5,87,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1184,103.0,8,1044.0,1426.0,1671,1671,3,6,1,550.0,290000,370,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,728,72.0,3,0.0,245.0,797,797,1,5,0,0.0,44000,36,59,109,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,950,71.0,6,690.0,804.0,804,1961,2,7,1,560.0,215000,317,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2524,79.0,5,962.0,1153.0,1193,1193,2,6,0,501.0,146500,293,34,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,2513,63.98290598290598,7,641.0,673.0,673,1382,2,6,0,490.0,165000,203,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,2028,60.0,6,168.0,714.0,1664,2526,2,10,1,216.0,136000,103,57,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,2309,75.19245283018869,6,1110.0,1705.0,1390,1390,1,4,2,550.0,252000,189,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,51,36.0,7,0.0,764.0,764,1626,2,6,0,474.0,175500,27,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,699,57.0,5,421.0,690.0,868,1558,1,7,1,400.0,150000,218,59,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,1881,75.19245283018869,5,0.0,978.0,1422,1422,1,6,1,286.0,139900,0,29,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,1345,52.0,5,0.0,1078.0,1128,1573,2,8,1,360.0,162900,0,16,78,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,166,87.0,6,0.0,1116.0,1116,1116,1,5,0,440.0,160000,385,48,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,379,80.0,6,832.0,1140.0,1707,1707,2,7,1,479.0,184000,0,11,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,2818,134.0,5,176.0,1466.0,1466,1466,1,6,2,528.0,149900,240,47,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1168,63.98290598290598,9,1027.0,1614.0,1638,1638,2,5,1,495.0,300000,298,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,1396,92.5,5,988.0,988.0,1721,1721,2,7,2,626.0,145000,134,48,48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,838,65.0,6,821.0,928.0,928,1764,2,7,0,470.0,231500,375,12,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1492,63.0,5,290.0,996.0,996,996,1,6,1,0.0,108000,144,39,68,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,637,70.0,5,435.0,1202.0,1202,1202,1,6,0,304.0,120000,35,53,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,1826,72.77464788732394,5,827.0,988.0,988,988,1,5,0,572.0,128500,0,46,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
122,173,56.0,5,0.0,1008.0,1028,1028,1,5,1,360.0,115000,0,60,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,715,50.0,5,312.0,720.0,720,1284,1,5,0,240.0,110000,35,59,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,1183,67.84615384615384,9,410.0,994.0,1599,2944,2,9,1,864.0,150000,210,31,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,2433,74.0,8,0.0,707.0,707,1414,2,6,1,403.0,178000,135,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2866,70.0,7,0.0,637.0,959,1609,1,8,2,579.0,199500,104,16,74,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2311,60.0,6,700.0,813.0,813,1525,2,6,1,400.0,183500,493,8,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1551,75.0,5,257.0,624.0,1092,1656,1,7,1,288.0,126000,280,41,41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1049,24.0,7,378.0,1055.0,1055,1055,2,4,0,440.0,148500,38,31,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,657,60.0,5,0.0,676.0,676,1352,2,7,0,720.0,149000,187,3,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
